subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos, obj1shape, obj1color, obj2shape, obj2color, obj3shape, obj3color, obj4shape, obj4color 
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
0,0,1,1,false,false,1purple.jpg,stim-images/object10purple.jpg,false,sedivy,true,1,purple,blicket,10,9,blue,red,None,6/26/2018,13:17,13521,3,0
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
0,0,1,6,true,false,8green.jpg,8green.jpg,true,colorfoil,true,8,green,wug,13,None,purple,blue,None,6/26/2018,13:18,3791,2,3
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
0,0,1,6,false,true,2purple.jpg,stim-images/object3purple.jpg,true,colorfoil,false,2,purple,gade,3,None,green,red,None,6/26/2018,13:18,1277,3,1
0,0,2,5,false,false,11blue.jpg,stim-images/object4purple.jpg,false,colorfoil,false,11,blue,blicket,4,None,purple,red,None,6/26/2018,13:18,4184,4,3
0,0,3,4,true,false,9red.jpg,9red.jpg,true,uniquetarget,true,9,red,koba,8,None,blue,purple,green,6/26/2018,13:18,5124,2,3
0,0,4,3,false,false,5green.jpg,stim-images/object7red.jpg,false,uniquetarget,false,5,green,sprock,7,None,red,blue,purple,6/26/2018,13:18,4537,3,3
0,0,5,2,false,false,6green.jpg,stim-images/object6red.jpg,true,sedivy,false,6,green,toma,13,12,red,purple,None,6/26/2018,13:18,5724,2,3
0,0,6,1,false,false,10purple.jpg,stim-images/object1red.jpg,false,sedivy,true,10,purple,dax,14,1,green,red,None,6/26/2018,13:18,18863,4,3
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
0,0,1,4,true,false,1red.jpg,1red.jpg,true,uniquetarget,true,1,red,wug,11,None,green,purple,blue,6/26/2018,13:18,3840,1,0
0,0,2,6,false,true,14green.jpg,stim-images/object9green.jpg,true,colorfoil,false,14,green,blicket,9,None,red,purple,None,6/26/2018,13:18,5223,4,1
0,0,3,1,false,true,6red.jpg,stim-images/object6green.jpg,false,sedivy,false,6,red,dax,13,4,green,purple,None,6/26/2018,13:18,3653,2,1
0,0,4,3,true,false,10green.jpg,10green.jpg,false,uniquetarget,true,10,green,gade,12,None,red,purple,blue,6/26/2018,13:18,17674,3,1
0,0,5,5,false,true,3red.jpg,stim-images/object7red.jpg,false,colorfoil,false,3,red,sprock,7,None,green,purple,None,6/26/2018,13:18,11945,3,1
0,0,6,2,false,true,5purple.jpg,stim-images/object8blue.jpg,true,sedivy,true,5,purple,koba,2,8,red,blue,None,6/26/2018,13:18,9615,2,1
0,NaN,1,5,false,false,14blue.jpg,stim-images/object8green.jpg,false,colorfoil,false,14,blue,dax,8,None,purple,green,None,6/26/2018,13:20,3360,2,3
0,NaN,2,2,false,false,12purple.jpg,stim-images/object12blue.jpg,true,sedivy,false,12,purple,toma,4,9,blue,green,None,6/26/2018,13:20,2834,4,3
0,NaN,3,4,true,false,13red.jpg,13red.jpg,true,uniquetarget,true,13,red,koba,2,None,blue,green,purple,6/26/2018,13:20,5728,1,3
