subid, age, counter, trialtype, chosetarget, targetname, chosenname, sizeasked, searchtype, choseunique, targetshape, targetcolor, targetsize, targetword, distractorshape1, distractorshape2, distractorshape3, date, timestamp, rtsearch, targetpos, lurepos, obj1shape,obj1size,obj2shape,obj2size,obj3shape,obj3size,obj4shape,obj4size,obj5shape,obj5size
0,0,1,1,false,22bluebig.jpg,stim-images/object7bluebig.jpg,false,sedivy,true,22,blue,big,blicket,9,7,21,1/26/2019,10:55,7783,5,0,21,big,7,big,9,big,22,small,22,big
0,0,2,4,false,16greensmall.jpg,stim-images/object3greensmall.jpg,true,sedivy,true,16,green,small,wug,15,3,10,1/26/2019,10:55,3121,5,0,10,small,16,big,15,small,3,small,16,small
0,0,3,2,false,17purplebig.jpg,stim-images/object13purplebig.jpg,true,sedivy,true,17,purple,big,toma,18,13,8,1/26/2019,10:55,3122,4,0,13,big,17,small,18,big,17,big,8,big
0,0,4,7,true,1purplesmall.jpg,1purplesmall.jpg,false,uniquetarget,true,1,purple,small,boti,6,None,None,1/26/2019,10:55,181604,2,0,6,big,1,small,6,big,6,big,6,big
0,0,5,8,true,14redsmall.jpg,14redsmall.jpg,true,uniquetarget,true,14,red,small,gade,2,None,None,1/26/2019,10:55,3291,2,0,2,big,14,small,2,big,2,big,2,big
0,0,6,6,true,23bluebig.jpg,23bluebig.jpg,true,uniquetarget,true,23,blue,big,quen,5,None,None,1/26/2019,10:55,3249,4,0,5,small,5,small,5,small,23,big,5,small
0,0,7,5,true,12redbig.jpg,12redbig.jpg,false,uniquetarget,true,12,red,big,koba,20,None,None,1/26/2019,10:55,3056,5,0,20,small,20,small,20,small,20,small,12,big
0,0,8,3,false,19redsmall.jpg,stim-images/object4redsmall.jpg,false,sedivy,true,19,red,small,sprock,24,4,11,1/26/2019,10:55,3366,3,0,24,small,11,small,19,small,19,big,4,small
0,0,1,6,true,22bluebig.jpg,22bluebig.jpg,true,uniquetarget,true,22,blue,big,wug,14,None,None,1/26/2019,11:01,3057,3,0,14,small,14,small,22,big,14,small,14,small
0,0,2,7,false,15purplesmall.jpg,stim-images/object24purplebig.jpg,false,uniquetarget,false,15,purple,small,toma,24,None,None,1/26/2019,11:01,3943,3,0,24,big,24,big,15,small,24,big,24,big
0,0,3,5,true,16redbig.jpg,16redbig.jpg,false,uniquetarget,true,16,red,big,gade,2,None,None,1/26/2019,11:01,3515,2,0,2,small,16,big,2,small,2,small,2,small
0,0,4,1,false,1bluebig.jpg,stim-images/object1bluesmall.jpg,false,sedivy,false,1,blue,big,blicket,12,19,20,1/26/2019,11:01,5047,3,0,20,big,1,small,1,big,19,big,12,big
0,0,5,3,false,21greensmall.jpg,stim-images/object21greenbig.jpg,false,sedivy,false,21,green,small,quen,9,4,7,1/26/2019,11:01,3794,5,0,21,big,7,small,9,small,4,small,21,small
0,0,6,4,false,6purplesmall.jpg,stim-images/object6purplebig.jpg,true,sedivy,false,6,purple,small,lomet,5,23,10,1/26/2019,11:01,3450,2,0,6,big,6,small,5,small,23,small,10,small
0,0,7,8,true,17bluesmall.jpg,17bluesmall.jpg,true,uniquetarget,true,17,blue,small,zorp,3,None,None,1/26/2019,11:01,3590,1,0,17,small,3,big,3,big,3,big,3,big
0,0,8,2,false,13purplebig.jpg,stim-images/object11purplebig.jpg,true,sedivy,true,13,purple,big,flib,18,11,8,1/26/2019,11:01,3392,1,0,13,big,11,big,13,small,8,big,18,big
0,0,1,8,true,14purplesmall.jpg,14purplesmall.jpg,true,uniquetarget,true,14,purple,small,blicket,17,None,None,1/26/2019,11:05,4061,3,0,17,big,17,big,14,small,17,big,17,big
0,0,2,1,true,18redbig.jpg,18redbig.jpg,false,sedivy,false,18,red,big,dax,8,22,2,1/26/2019,11:05,3218,2,0,18,small,18,big,2,big,22,big,8,big
0,0,3,4,true,13purplesmall.jpg,13purplesmall.jpg,true,sedivy,false,13,purple,small,sprock,19,12,3,1/26/2019,11:05,3107,5,0,3,small,13,big,19,small,12,small,13,small
0,0,4,6,true,21purplebig.jpg,21purplebig.jpg,true,uniquetarget,true,21,purple,big,lomet,23,None,None,1/26/2019,11:05,13678,3,0,23,small,23,small,21,big,23,small,23,small
0,0,5,5,true,20redbig.jpg,20redbig.jpg,false,uniquetarget,true,20,red,big,toma,15,None,None,1/26/2019,11:05,3242,2,0,15,small,20,big,15,small,15,small,15,small
0,0,6,2,true,16bluebig.jpg,16bluebig.jpg,true,sedivy,false,16,blue,big,wug,6,4,10,1/26/2019,11:05,3912,2,0,4,big,16,big,16,small,10,big,6,big
0,0,7,7,true,7purplesmall.jpg,7purplesmall.jpg,false,uniquetarget,true,7,purple,small,gade,1,None,None,1/26/2019,11:05,3402,4,0,1,big,1,big,1,big,7,small,1,big
0,0,8,3,false,24bluesmall.jpg,stim-images/object24bluebig.jpg,false,sedivy,false,24,blue,small,boti,9,11,5,1/26/2019,11:05,5648,5,0,9,small,24,big,5,small,11,small,24,small
