subid, age, counter, trialtype, chosetarget, choselure, targetname, chosenname, sizeasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, date, timestamp, rtsearch, targetpos, lurepos, obj1shape,obj1size,obj2shape,obj2size,obj3shape,obj3size
0,0,1,4,true,false,11green.jpg,11green.jpg,true,uniquetarget,true,11,green,gade,20,None,purple,blue,11/10/2018,17:29,3860,3,0,20,small,20,small,11,big
0,0,2,1,true,false,17bluesmall.jpg,17bluesmall.jpg,false,sedivy,false,17,blue,boti,12,None,None,None,11/10/2018,17:29,3713,1,3,17,small,17,big,12,small
0,0,3,3,false,false,1purple.jpg,stim-images/object2purplesmall.jpg,false,uniquetarget,false,1,purple,dax,2,None,red,blue,11/10/2018,17:29,3079,1,0,1,big,2,small,2,small
0,0,4,1,false,false,18redsmall.jpg,stim-images/object18redbig.jpg,false,sedivy,false,18,red,quen,5,None,None,None,11/10/2018,17:29,3451,3,1,5,small,18,big,18,small
0,0,5,2,false,false,16bluesmall.jpg,stim-images/object16bluebig.jpg,true,sedivy,false,16,blue,blicket,15,None,None,None,11/10/2018,17:29,4788,3,2,16,big,15,small,16,small
0,0,6,4,true,false,8green.jpg,8green.jpg,true,uniquetarget,true,8,green,toma,19,None,red,blue,11/10/2018,17:29,3592,1,0,8,big,19,small,19,small
0,0,7,3,true,false,4green.jpg,4green.jpg,false,uniquetarget,true,4,green,flib,13,None,purple,red,11/10/2018,17:29,3351,3,0,13,big,13,big,4,small
0,0,8,2,false,false,7greenbig.jpg,stim-images/object7greensmall.jpg,true,sedivy,false,7,green,lomet,10,None,None,None,11/10/2018,17:29,3188,1,2,7,big,10,big,7,small
0,0,1,3,true,false,7purple.jpg,7purple.jpg,false,uniquetarget,true,7,purple,gade,8,None,green,red,11/10/2018,17:55,3339,3,0,8,small,8,small,7,big
0,0,2,4,false,false,19green.jpg,stim-images/object10greensmall.jpg,true,uniquetarget,false,19,green,dax,10,None,blue,purple,11/10/2018,17:55,3062,1,0,19,big,10,small,10,small
0,0,3,3,true,false,20green.jpg,20green.jpg,false,uniquetarget,true,20,green,blicket,12,None,blue,purple,11/10/2018,17:55,4742,2,0,12,big,20,small,12,big
0,0,4,2,true,false,13greenbig.jpg,13greenbig.jpg,true,sedivy,false,13,green,quen,6,None,None,None,11/10/2018,17:55,5237,3,1,6,big,13,small,13,big
0,0,5,2,true,false,16greensmall.jpg,16greensmall.jpg,true,sedivy,false,16,green,zorp,15,None,None,None,11/10/2018,17:55,5522,1,2,16,small,15,small,16,big
0,0,6,1,true,false,18bluesmall.jpg,18bluesmall.jpg,false,sedivy,false,18,blue,lomet,9,None,None,None,11/10/2018,17:55,3841,1,3,18,small,18,big,9,small
0,0,7,3,true,false,3purple.jpg,3purple.jpg,false,uniquetarget,true,3,purple,toma,11,None,blue,green,11/10/2018,17:55,6029,1,0,3,big,11,small,11,small
0,0,8,1,true,false,2bluebig.jpg,2bluebig.jpg,false,sedivy,false,2,blue,sprock,1,None,None,None,11/10/2018,17:55,5771,1,3,2,big,2,small,1,big
0,0,9,1,true,false,5purplesmall.jpg,5purplesmall.jpg,false,sedivy,false,5,purple,wug,17,None,None,None,11/10/2018,17:55,4197,3,2,5,big,17,small,5,small
0,0,10,4,true,false,4blue.jpg,4blue.jpg,true,uniquetarget,true,4,blue,boti,14,None,green,purple,11/10/2018,17:55,3808,3,0,14,small,14,small,4,big
0,0,11,2,true,false,undefinedbluebig.jpg,undefinedbluebig.jpg,true,sedivy,false,undefined,blue,flib,undefined,None,None,None,11/10/2018,17:55,10872,3,1,undefined,big,undefined,small,undefined,big
0,0,12,4,true,false,undefinedpurple.jpg,undefinedpurple.jpg,true,uniquetarget,true,undefined,purple,koba,undefined,None,red,green,11/10/2018,17:55,3581,1,0,undefined,big,undefined,small,undefined,small
0,0,1,3,true,false,2green.jpg,2green.jpg,false,uniquetarget,true,2,green,gade,16,None,blue,purple,11/10/2018,17:57,3989,2,0,16,small,2,big,16,small
0,0,2,1,false,true,10greensmall.jpg,stim-images/object9greensmall.jpg,false,sedivy,true,10,green,lomet,9,None,None,None,11/10/2018,17:57,6363,2,1,9,small,10,small,10,big
0,0,3,3,false,false,19blue.jpg,stim-images/object20bluesmall.jpg,false,uniquetarget,false,19,blue,flib,20,None,green,red,11/10/2018,17:57,4067,1,0,19,big,20,small,20,small
0,0,4,2,false,true,4bluebig.jpg,stim-images/object18bluebig.jpg,true,sedivy,true,4,blue,toma,18,None,None,None,11/10/2018,17:57,15857,3,2,4,small,18,big,4,big
0,0,5,4,false,false,8purple.jpg,stim-images/object7purplebig.jpg,true,uniquetarget,false,8,purple,blicket,7,None,red,green,11/10/2018,17:57,5416,3,0,7,big,7,big,8,small
0,0,6,2,true,false,5redbig.jpg,5redbig.jpg,true,sedivy,false,5,red,sprock,24,None,None,None,11/10/2018,17:57,3356,1,3,5,big,5,small,24,big
0,0,7,1,false,true,3bluesmall.jpg,stim-images/object22bluesmall.jpg,false,sedivy,true,3,blue,dax,22,None,None,None,11/10/2018,17:57,5403,2,1,22,small,3,small,3,big
0,0,8,1,false,true,17redbig.jpg,stim-images/object6redbig.jpg,false,sedivy,true,17,red,koba,6,None,None,None,11/10/2018,17:57,3517,1,2,17,big,6,big,17,small
